review,sentiment
"I viewed the first two nights before coming to IMDb looking for some actor info. I saw the 9+ rating which surprised me since I was not that impressed by what I'd seen. (As reference, I happen to believe Lonesome Dove was the best TV western ever. I grew up next to the MGM back lots in Culver City in the 50s and have a certain sense of reverence about the Western genre.) <br /><br />So I saw the glowing first review and decided to read ""more"". There I found several reviews with 1 or 2 stars that summed up my feelings well about the lack of character development, poor editing, feeling that it was shot on the Universal back lot (MGM's is long gone), and overall impression that it was not going to come close to changing my feelings about LD. My impression is that the overwhelming vote of those who chose to write was ""less than a 4.0"".<br /><br />This got me to wondering about the process that yields a 9+ rating. If the people giving the 10s and 9s do not take the time to justify their vote, is the ballot box being stuffed by people with a monetary motivation? I have long used IMDb as one tool to screen movies and thought it the best available. Now I am not so sure.",negative
"It's been said several times - not least by me - that watching an Eric Rohmer film is like watching paint dry; it seems that Monsieur Rohmer resents this (he doesn't deny it, but then how could he, he just resents it) so much so that his new movie, which may also be his last, Inch Allah, is set so far back in time that it's like watching woad dry. Those wonderful people who gave you the Nouvelle Vague, Cahiers du Cinema have already named it one of the best films of 2007 so that should give you some idea. Reality is not high on Rohmer's agenda so that in 5th Century France we have at one extreme a château that would not be out of place in the Loire valley whilst the only other dwelling we see is a rude wooden hut. The story involves nymphs and shepherds and as he often does Rohmer has cast it with unknowns who just happened to be passing so that the overall effect is that the annual class play at a school for Special Needs pupils was captured on film by accident. One is almost tempted to say 'Come back Godard, all is forgiven' but even this woeful production can't make me utter those words.",negative
"Without a doubt this is the WORSE comicbook movie every made. PERIOD!! Yes, it's worse then Dolph Lundgren's (1989) Punisher. Yup.. worse then the 1979 & 1991 Captain America movies. Oh yeah, it's even WORSE then Christopher Reed scripted Superman IV: Quest for Peace movie. Sheeshh.. that movie was so bad that the guy who played Nuclear Man only starred in one other film and it was only on T.V. =oP<br /><br />This movie is ""D"" quality. I had a chance to watch it on the SciFi channel back in 1997. I had heard it was pretty bad, but had nothing else to do that night so I figured I check it out. What a waste of an hour and a half. I would have been better off watching reruns of Different Strokes. Besides having the lamest special effects and worse acting I've ever seen, the whole script was just awful and not well directed at all. Thankfully a NEW Fantastic Four movie is being done and hopefully this version will do the heroes justice. I was hoping for a New SPAWN movie in the future, but it has yet to materialize. <br /><br />Do not rent this movie. If you happen to see it being televised on cable, check it out. Be warned though, you'll most like be flipping the channel after the first 15 mins.",negative
"Firstly, I would like to point out that people who have criticised this film have made some glaring errors. Anything that has a rating below 6/10 is clearly utter nonsense.<br /><br />Creep is an absolutely fantastic film with amazing film effects. The actors are highly believable, the narrative thought provoking and the horror and graphical content extremely disturbing. <br /><br />There is much mystique in this film. Many questions arise as the audience are revealed to the strange and freakish creature that makes habitat in the dark rat ridden tunnels. How was 'Craig' created and what happened to him?<br /><br />A fantastic film with a large chill factor. A film with so many unanswered questions and a film that needs to be appreciated along with others like 28 Days Later, The Bunker, Dog Soldiers and Deathwatch.<br /><br />Look forward to more of these fantastic films!!",positive
"a compact crime drama with a good amount of action. The unique NYC location shots adds to this tough little film.Technically well done with good direction and acting. Needless to say,the wild car chase that seems to begin in downtown, extends through the upper west side, Washington Heights, across the George Washington Bridge and into NJ has to be one of the best ever on film.All around a fine flick that for me gets better with time.8 out of 10...easy",positive
"This is my first comment on IMDb website, and the reason I'm writing it is that we're talking about ONE OF THE BEST FILMS EVER! 'Ne goryuy!' will make you laugh and cry at the same time, you will fall in love (if you're not a fan yet!) with Georgian choir singing tradition, and possibly you will accept the hardships of your own existence and just feel good after watching it:) What I like a lot about this film is that actors in the non-leading roles create vivid and memorable characters and are just as interesting and important as the central character. The film is starring Vahtang Kikabidze (who is great), but you will remember every single face around him in the film. You will find yourself quoting their lines, that have become household names for so many Russian-speaking people. A film to live with. Simple, yet deep, you will want to watch it again and again.",positive
The theme is controversial and the depiction of the hypocritical and sexually starved india is excellent.Nothing more to this film.There is a lack of good dialogues(why was the movie in english??). There was lack of continuity and lack of passion/emotion in the acting.,positive
"I hadn't heard of Soap Girl but I saw a poster with a five star review from Film Threat outside the theater so I figured, how bad could it be? Well, I soon found out. My god this film was awful. The most wooden acting I have ever seen outside of a porn flick. Absolutely agonizing dialogue. I just can't understand how this was made and why anyone agreed to be a part of it. And I find it completely unfathomable that this was actually being shown in a theater and money was being charged to see it. How did this happen????? And most importantly WHAT THE WAS THE GUY FROM FILM THREAT THINKING?!?!?!?!",negative
"Enjoyable film that gives you romance, women-on-the-verge psychodrama, work place sexual harassment, adultery, and fashion. It's all there. Typical characters found in corporate America. Joan Crawford is the usual long time employee bitch executive who feels the need to be such because she's with the big boys. Hope Lange is the entry level ambitious employee whose determined to get to the top by using her mind and not her body. Their personal lives is the subplot. <br /><br />Wardrobe for the film is great but someone forgot to tell Stephen Boyd's hairstylist that ""a little dab will do ya!"" The amount of Brylcream in Stephen Boyd's hair is distracting at times. His character's relationship with Lange's character was never fully developed which I found disappointing. Overall the movie is enjoyable. <br /><br />Rating: 8/10",positive
"I don't know how or why this film has a meager rating on IMDb. This film, accompanied by ""I am Curious: Blue"" is a masterwork.<br /><br />The only thing that will let you down in this film is if you don't like the process of film, don't like psychology or if you were expecting hardcore pornographic ramming.<br /><br />This isn't a film that you will want to watch to unwind; it's a film that you want to see like any other masterpiece, with time, attention and care.<br /><br />******SUMMARIES, MAY CONTAIN A SPOILER OR TWO*******<br /><br />The main thing about this film is that it blends the whole film, within a film thing, but it does it in such a way that sometimes you forget that the fictions aren't real.<br /><br />The film is like many films in one:<br /><br />1. A political documentary, about the social system in Sweden at the time. Which in a lot of ways are still relevant to today. Interviews done by a young woman named Lena.<br /><br />2. A narrative about a filmmaker, Vilgot Sjoman, making a film... he deals with a relationship with his star in the film and how he should have never got involved with people he's supposed to work with.<br /><br />3. The film that Vilgot is making. It's about a young woman named Lena(IE. #2), who is young and very politically active, she is making a documentary (IE. #1.). She is also a coming of age and into her sexuality, and the freedom of that.<br /><br />The magnificence and sheer brilliance of ""I am Curious: Yellow/Blue"" is how these three elements are cut together. In one moment you are watching an interview about politics, and the next your watching what the interviewer is doing behind the scenes but does that so well that you sometimes forget that it is the narrative.<br /><br />Another thing is the dynamic between ""Yellow"" and ""Blue"", which if you see one, you must see the other. ""Blue"" is not a sequel at all. I'll try to explain it best i can because to my knowledge, no other films have done it though it is a great technique.<br /><br />Think of ""Yellow"" as a living thing, actual events in 14 scenes. A complete tale.<br /><br />Think of ""Blue"" as all the things IN BETWEEN the 14 scenes in ""Yellow"" that you didn't see, that is a complete tale on it's own.<br /><br />Essentially they are parallel films... the same story, told in two different ways.<br /><br />It wasn't until i saw the first 30 minutes of ""Blue"" that i fully understood ""Yellow""<br /><br />I hope this was helpful for people who are being discouraged by various influences, because this film changed the way i looked at film.<br /><br />thanks for your time.",positive
